ID,z,logMstar,OH
105702,3.085,10.26,8.63
235637,3.082,8.97,8.51
12786,3.348,9.36,8.38
230755,3.185,8.9,8.46
101998,3.193,9.83,8.37
3496,3.031,9.35,8.22
14729,3.607,10.03,8.23
2312,3.47,9.63,8.38
103010,3.462,9.57,8.3
130840,3.182,10.26,8.68
132586,3.472,9.17,8.27
228618,3.188,9.51,8.32
17345,3.611,9.1,8.26
231194,3.078,9.53,8.44
106745,3.465,9.46,8.28
101861,3.239,9.53,8.28
232407,3.411,9.27,8.27
18915,3.605,9.98,8.38
131717,3.071,9.68,8.46
4151,3.651,9.11,8.17
234108,3.341,9.55,8.19